SCATS_Number	SCATS Neighbours	NB_LATITUDE	NB_LONGITUDE	V00	Location
970	2846 3685	-37.86703	145.09159	86	WARRIGAL_RD N of HIGH STREET_RD
970	2846 3685	-37.86703	145.09159	32	WARRIGAL_RD N of HIGH STREET_RD
970	2846 3685	-37.86703	145.09159	26	WARRIGAL_RD N of HIGH STREET_RD
970	2846 3685	-37.86703	145.09159	32	WARRIGAL_RD N of HIGH STREET_RD
970	2846 3685	-37.86703	145.09159	40	WARRIGAL_RD N of HIGH STREET_RD
970	2846 3685	-37.86703	145.09159	36	WARRIGAL_RD N of HIGH STREET_RD
970	2846 3685	-37.86703	145.09159	62	WARRIGAL_RD N of HIGH STREET_RD
970	2846 3685	-37.86703	145.09159	116	WARRIGAL_RD N of HIGH STREET_RD
970	2846 3685	-37.86703	145.09159	23	WARRIGAL_RD N of HIGH STREET_RD
970	2846 3685	-37.86703	145.09159	27	WARRIGAL_RD N of HIGH STREET_RD
970	2846 3685	-37.86703	145.09159	38	WARRIGAL_RD N of HIGH STREET_RD
970	2846 3685	-37.86703	145.09159	28	WARRIGAL_RD N of HIGH STREET_RD
970	2846 3685	-37.86703	145.09159	34	WARRIGAL_RD N of HIGH STREET_RD
970	2846 3685	-37.86703	145.09159	61	WARRIGAL_RD N of HIGH STREET_RD
970	2846 3685	-37.86703	145.09159	97	WARRIGAL_RD N of HIGH STREET_RD
970	2846 3685	-37.86703	145.09159	18	WARRIGAL_RD N of HIGH STREET_RD
970	2846 3685	-37.86703	145.09159	20	WARRIGAL_RD N of HIGH STREET_RD
970	2846 3685	-37.86703	145.09159	39	WARRIGAL_RD N of HIGH STREET_RD
970	2846 3685	-37.86703	145.09159	29	WARRIGAL_RD N of HIGH STREET_RD
970	2846 3685	-37.86703	145.09159	50	WARRIGAL_RD N of HIGH STREET_RD
970	2846 3685	-37.86703	145.09159	64	WARRIGAL_RD N of HIGH STREET_RD
970	2846 3685	-37.86703	145.09159	107	WARRIGAL_RD N of HIGH STREET_RD
970	2846 3685	-37.86703	145.09159	33	WARRIGAL_RD N of HIGH STREET_RD
970	2846 3685	-37.86703	145.09159	25	WARRIGAL_RD N of HIGH STREET_RD
970	2846 3685	-37.86703	145.09159	32	WARRIGAL_RD N of HIGH STREET_RD
970	2846 3685	-37.86703	145.09159	40	WARRIGAL_RD N of HIGH STREET_RD
970	2846 3685	-37.86703	145.09159	30	WARRIGAL_RD N of HIGH STREET_RD
970	2846 3685	-37.86703	145.09159	67	WARRIGAL_RD N of HIGH STREET_RD
970	2846 3685	-37.86703	145.09159	94	WARRIGAL_RD N of HIGH STREET_RD
970	2846 3685	-37.86703	145.09159	44	WARRIGAL_RD N of HIGH STREET_RD
970	2846 3685	-37.86703	145.09159	35	WARRIGAL_RD N of HIGH STREET_RD
970	2846 3685	-37.86735	145.09195	37	HIGH STREET_RD E of WARRIGAL_RD
970	2846 3685	-37.86735	145.09195	10	HIGH STREET_RD E of WARRIGAL_RD
970	2846 3685	-37.86735	145.09195	8	HIGH STREET_RD E of WARRIGAL_RD
