loss,mape,val_loss,val_mape
17938.806640625,7424750.0,12265.609375,55796740.0
17938.673828125,7005201.0,12265.609375,47029940.0
17938.666015625,6943373.5,12265.609375,50415104.0
17938.66796875,6849062.5,12265.607421875,43423476.0
17938.6484375,6803437.5,12265.607421875,46712660.0
17938.69140625,6789074.5,12265.609375,40530696.0
17938.681640625,6739053.5,12265.607421875,47159508.0
17938.67578125,6748002.5,12265.607421875,50027260.0
17938.6640625,6781847.0,12265.607421875,42591252.0
17938.68359375,6718205.5,12265.607421875,44230316.0
17938.677734375,6684659.0,12265.609375,37177948.0
17938.671875,6620735.0,12265.607421875,42373376.0
17938.671875,6647525.5,12265.607421875,46320384.0
17938.673828125,6773518.5,12265.609375,51826684.0
17938.671875,6722869.5,12265.609375,37173596.0
17938.6796875,6741833.5,12265.609375,53183680.0
17938.673828125,6751780.0,12265.607421875,45305360.0
17938.666015625,6665319.0,12265.607421875,49489444.0
17938.669921875,6718736.5,12265.607421875,43923100.0
17938.666015625,6627852.0,12265.609375,53468296.0
17938.671875,6712951.0,12265.607421875,45950976.0
17938.67578125,6702078.5,12265.607421875,43359712.0
17938.671875,6667407.5,12265.607421875,51664848.0
17938.666015625,6734383.5,12265.607421875,43669076.0
17938.689453125,6673647.0,12265.607421875,47253964.0
17938.658203125,6676249.0,12265.607421875,50563392.0
17938.658203125,6611737.5,12265.609375,54990688.0
17938.67578125,6700510.0,12265.607421875,42067140.0
17938.6796875,6662276.5,12265.607421875,51258892.0
17938.68359375,6658355.5,12265.607421875,46328064.0
17938.67578125,6772861.5,12265.609375,37395968.0
17938.67578125,6742238.0,12265.607421875,46403028.0
17938.671875,6696135.5,12265.609375,37518632.0
17938.669921875,6718161.0,12265.611328125,35042924.0
17938.6640625,6677118.0,12265.607421875,43856056.0
17938.65234375,6698468.5,12265.607421875,44123848.0
17938.66796875,6632731.5,12265.607421875,43925340.0
17938.6796875,6716718.5,12265.611328125,34766008.0
17938.673828125,6800532.0,12265.607421875,38713604.0
17938.66796875,6706890.5,12265.607421875,40282600.0
17938.65625,6708861.5,12265.607421875,43413908.0
17938.654296875,6798513.5,12265.607421875,51506988.0
17938.673828125,6816657.0,12265.609375,35920840.0
17938.671875,6679458.0,12265.611328125,55457480.0
17938.66796875,6682800.0,12265.607421875,49468044.0
17938.673828125,6770318.5,12265.607421875,44859492.0
17938.671875,6806280.5,12265.607421875,46786376.0
17938.65625,6716567.5,12265.6044921875,41087256.0
17938.6640625,6781276.0,12265.609375,51260416.0
17938.6640625,6654739.0,12265.609375,52796028.0
17938.658203125,6732558.5,12265.609375,37017648.0
17938.669921875,6805735.0,12265.607421875,45291104.0
17938.673828125,6872060.5,12265.607421875,43651336.0
17938.666015625,6705472.0,12265.609375,50689028.0
17938.677734375,6719178.5,12265.6044921875,39209308.0
17938.66796875,6740758.0,12265.607421875,41678092.0
17938.677734375,6804448.5,12265.607421875,43582596.0
17938.666015625,6845802.0,12265.607421875,44061352.0
17938.662109375,6815620.0,12265.607421875,43843308.0
17938.67578125,6729806.5,12265.607421875,45089900.0
17938.681640625,6679518.5,12265.609375,37185404.0
17938.66796875,6745752.0,12265.607421875,48277496.0
17938.662109375,6831600.0,12265.607421875,38458608.0
17938.677734375,6908111.0,12265.607421875,44998100.0
17938.66796875,6938188.5,12265.611328125,35263172.0
17938.681640625,6933677.5,12265.609375,56129176.0
17938.689453125,6782947.0,12265.609375,51424160.0
17938.673828125,6762618.5,12265.607421875,43980640.0
17938.6875,6809705.0,12265.611328125,36860752.0
17938.673828125,6799509.0,12265.607421875,39158740.0
17938.677734375,6709979.5,12265.607421875,46865828.0
17938.671875,6662744.0,12265.609375,41317984.0
17938.677734375,6704894.5,12265.630859375,31876886.0
17938.677734375,6922545.5,12265.607421875,45252764.0
17938.67578125,6817625.0,12265.62109375,63712600.0
17938.65625,6743319.5,12265.607421875,51758108.0
17938.662109375,7201926.5,12265.609375,56253108.0
17938.65234375,6753466.0,12265.607421875,47416228.0
17938.669921875,6810143.0,12265.607421875,45053556.0
17938.673828125,6598288.5,12265.609375,49833176.0
17938.6640625,7014136.0,12265.609375,37300508.0
17938.67578125,7427506.0,12265.62109375,34210080.0
17938.671875,6914291.0,12265.607421875,38647248.0
17938.66015625,6990080.0,12265.607421875,42893848.0
17938.673828125,6736501.0,12265.607421875,40336824.0
17938.654296875,6788843.0,12265.6142578125,57442080.0
17938.669921875,6654526.0,12265.609375,36725116.0
17938.67578125,6697933.5,12265.607421875,43474408.0
17938.65625,6601251.5,12265.611328125,53452328.0
17938.681640625,6619286.0,12265.607421875,41430804.0
17938.685546875,6634220.0,12265.607421875,39447852.0
17938.6484375,6647929.5,12265.609375,34992160.0
17938.67578125,6646618.0,12265.609375,38220468.0
17938.677734375,6694984.5,12265.607421875,42728496.0
17938.662109375,6514895.0,12265.607421875,45497840.0
17938.65625,6813949.5,12265.609375,50328720.0
17938.666015625,6893029.0,12265.611328125,35821524.0
17938.673828125,6645017.0,12265.607421875,36188420.0
17938.658203125,6639654.0,12265.619140625,59839524.0
17938.67578125,6939479.0,12265.607421875,40452328.0
